id,shortName,ibuMin,ibuMax,ibu,abvMin,abvMax,abv,srmMin,srmMax,srm,ogMin,ogMax,og,fgMin,fgMax,fg
83,Euro Dark,16,25,20.5,4.5,5,4.75,15,20,17.5,1.048,,1.048,1.014,1.018,1.016
84,Schwarzbier,22,30,26,3.8,5,4.4,25,30,27.5,1.044,,1.044,1.01,1.016,1.013
85,M√§rzen Rauchbier,18,25,21.5,5.3,5.9,5.6,4,15,9.5,1.05,,1.05,1.012,1.02,1.016
86,Helles Rauchbier,18,25,21.5,4.5,5.5,5,4,6,5,1.044,,1.044,1.008,1.012,1.01
87,Bock Rauchbier,20,30,25,6,7.5,6.75,20,30,25,1.066,,1.066,1.018,1.024,1.021
88,Bock,20,30,25,6.3,7.5,6.9,20,30,25,1.066,,1.066,1.018,1.024,1.021
89,Maibock,20,38,29,6,8,7,4,10,7,1.066,,1.066,1.012,1.02,1.016
90,Doppelbock,17,27,22,6.5,8,7.25,12,30,21,1.074,,1.074,1.014,1.02,1.017
91,Eisbock,,50,50,,33,33,,,#DIV/0!,1.074,,1.074,,,#DIV/0!
92,Kellerbier,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
93,American Lager,5,13,9,3.8,5,4.4,2,4,3,1.04,,1.04,1.006,1.01,1.008
94,American Light Lager,5,10,7.5,3.5,4.4,3.95,2,4,3,1.024,,1.024,1.002,1.008,1.005
95,American Low-Carb Lager',3,10,6.5,3.5,4.4,3.95,2,10,6,1.024,,1.024,0.992,1.004,0.998
96,American Amber Lager,8,15,11.5,3.5,4.4,3.95,4,12,8,1.024,,1.024,1.002,1.008,1.005
97,American Premium Lager,6,15,10.5,4.3,5,4.65,2,6,4,1.044,,1.044,1.01,1.014,1.012
98,American Pilsener,25,40,32.5,5,6,5.5,3,6,4.5,1.045,,1.045,1.012,1.018,1.015
99,American Ice Lager,7,20,13.5,4.75,6.25,5.5,2,8,5,1.04,,1.04,1.006,1.014,1.01
100,Malt Liquor,12,23,17.5,6.25,7.5,6.875,2,5,3.5,1.05,,1.05,1.004,1.01,1.007
101,American Amber Lager,18,30,24,4.8,5.4,5.1,6,14,10,1.042,,1.042,1.01,1.018,1.014
102,American Oktoberfest,20,30,25,5.3,5.9,5.6,4,15,9.5,1.05,,1.05,1.012,1.02,1.016
103,American Dark Lager,14,20,17,4,5.5,4.75,14,25,19.5,1.04,,1.04,1.008,1.012,1.01
104,Baltic Porter,35,40,37.5,7.5,9,8.25,40,40,40,1.072,,1.072,1.016,1.022,1.019
105,Tropical Light Lager,9,18,13.5,3.8,5,4.4,2,5,3.5,1.038,,1.038,1.006,1.01,1.008
106,International Pilsener,17,30,23.5,4.5,5.3,4.9,3,4,3.5,1.044,,1.044,1.008,1.01,1.009
107,Dry Lager,15,23,19,4.3,5.5,4.9,2,4,3,1.04,,1.04,1.004,1.008,1.006
108,Session,10,30,20,4,5.1,4.55,2,2,2,1.034,,1.034,1.004,1.01,1.007
109,Cream Ale,10,22,16,4.2,5.6,4.9,2,5,3.5,1.044,,1.044,1.004,1.01,1.007
